MM-DD-YYYY,HH:MM:SS.000,Temp,WT17_Count,ADH16_Count,WT16_Count,WT15_Count,ADH18_Count,ADH17_Count,ADH19_Count,WT17_Start,ADH16_Start,WT16_Start,WT15_Start,ADH18_Start,ADH17_Start,ADH19_Start,WT17_Stop,ADH16_Stop,WT16_Stop,WT15_Stop,ADH18_Stop,ADH17_Stop,ADH19_Stop
1/28/25,44:12.5,24,4,61,11,1,0,9,34,76044,64627,72231,62076,0,78152,78436,76508,64651,72315,62094,0,78200,78466
1/28/25,44:12.6,24,4,61,12,1,0,9,34,76044,64627,78526,62076,0,78152,78436,76508,64651,78556,62094,0,78200,78466
1/28/25,44:12.8,24,4,62,12,1,0,9,34,76044,78740,78716,62076,0,78750,78436,76508,78770,78556,62094,0,78200,78466
1/28/25,44:12.8,24,4,62,13,1,0,9,34,76044,78740,78716,62076,0,78750,78436,76508,78770,78816,62094,0,78200,78466
1/28/25,44:12.9,24,4,62,13,1,0,10,34,76044,78740,78716,62076,0,78750,78436,76508,78770,78816,62094,0,78893,78466
1/28/25,44:12.2,24,4,63,13,1,0,10,34,76044,79098,78716,62076,0,78750,78436,76508,79128,78816,62094,0,78893,78466
1/28/25,44:12.3,24,4,64,13,1,0,10,34,76044,79184,78716,62076,0,78750,78436,76508,79214,78816,62094,0,78893,78466
1/28/25,44:12.3,24,4,65,13,1,0,10,34,76044,79274,78716,62076,0,78750,78436,76508,79304,78816,62094,0,78893,78466
1/28/25,44:12.4,24,4,66,13,1,0,10,34,76044,79361,78716,62076,0,78750,78436,76508,79398,78816,62094,0,78893,78466
1/28/25,44:13.5,24,4,67,13,1,0,10,34,76044,79450,78716,62076,0,78750,78436,76508,79492,78816,62094,0,78893,78466
1/28/25,44:13.6,24,4,68,13,1,0,10,34,76044,79552,78716,62076,0,78750,78436,76508,79582,78816,62094,0,78893,78466
1/28/25,44:14.0,24,4,68,13,1,0,10,35,76044,79552,78716,79890,0,78750,79888,76508,79582,78816,62094,0,78893,79918
1/28/25,44:13.9,24,4,68,13,2,0,10,35,76044,79552,78716,79890,0,78750,79888,76508,79582,78816,79971,0,78893,79918
1/28/25,44:13.2,24,4,69,13,2,0,10,35,76044,80123,78716,79890,0,78750,79888,76508,80136,78816,79971,0,78893,79918
1/28/25,44:13.3,24,4,70,13,2,0,10,35,76044,80191,78716,79890,0,78750,79888,76508,80221,78816,79971,0,78893,79918
1/28/25,44:14.5,24,4,71,13,2,0,10,35,76044,80460,78716,79890,0,78750,79888,76508,80484,78816,79971,0,78893,79918
1/28/25,44:14.8,24,4,72,13,2,0,10,35,76044,80704,78716,79890,0,78750,79888,76508,80747,78816,79971,0,78893,79918
1/28/25,44:14.9,24,4,73,13,2,0,10,35,76044,80803,78716,79890,0,78750,79888,76508,80845,78816,79971,0,78893,79918
1/28/25,44:15.7,24,4,74,13,2,0,10,35,76044,81654,78716,79890,0,78750,79888,76508,81691,78816,79971,0,78893,79918
1/28/25,44:17.0,24,4,74,13,2,0,10,36,76044,81654,78716,79890,0,78750,82828,76508,81691,78816,79971,0,78893,82936
1/28/25,44:16.6,24,4,74,13,2,0,10,37,76044,81654,78716,79890,0,78750,82992,76508,81691,78816,79971,0,78893,83022
1/28/25,44:16.1,24,4,74,13,2,0,10,38,76044,81654,78716,79890,0,78750,83074,76508,81691,78816,79971,0,78893,83098
1/28/25,44:17.2,24,4,74,13,2,0,10,39,76044,81654,78716,79890,0,78750,83614,76508,81691,78816,79971,0,78893,84157
1/28/25,44:18.6,24,4,75,13,2,0,10,39,76044,84540,78716,79890,0,78750,83614,76508,84582,78816,79971,0,78893,84157
1/28/25,44:18.7,24,4,76,13,2,0,10,39,76044,84646,78716,79890,0,78750,83614,76508,84682,78816,79971,0,78893,84157
1/28/25,44:18.9,24,4,77,13,2,0,10,39,76044,84876,78716,79890,0,78750,83614,76508,84882,78816,79971,0,78893,84157
1/28/25,44:18.1,24,4,78,13,2,0,10,39,76044,85069,78716,79890,0,78750,83614,76508,85100,78816,79971,0,78893,84157
1/28/25,44:18.2,24,4,79,13,2,0,10,39,76044,85163,78716,79890,0,78750,83614,76508,85200,78816,79971,0,78893,84157
1/28/25,44:19.6,24,4,80,13,2,0,10,39,76044,85493,78716,79890,0,78750,83614,76508,85529,78816,79971,0,78893,84157
1/28/25,44:19.7,24,4,81,13,2,0,10,39,76044,85603,78716,79890,0,78750,83614,76508,85633,78816,79971,0,78893,84157
1/28/25,44:19.9,24,4,82,13,2,0,10,39,76044,85811,78716,79890,0,78750,83614,76508,85854,78816,79971,0,78893,84157
1/28/25,44:20.0,24,4,83,13,2,0,10,39,76044,85906,78716,79890,0,78750,83614,76508,85942,78816,79971,0,78893,84157
